race,gender,age,job_title,state,city,zip_code,Salary
White,Female,55,Mechanical Engineer,New York,Buffalo,14233,"$126,148.92 "
White,Male,60,Mechanical Engineer,New York,White Plains,10633,"$189,857.15 "
White,Female,41,Teacher,New York,Buffalo,14215,"$290,821.01 "
White,Male,19,Mechanical Engineer,New York,Rochester,14639,"$80,650.80 "
White,Male,45,Compensation Analyst,New York,Jamaica,11436,"$269,025.34 "
White,Male,67,Database Administrator,New York,Albany,12237,"$118,082.37 "
White,Female,30,VP Quality Control,New York,New York City,10014,"$83,899.19 "
Hispanic,Female,42,Web Designer,New York,Elmira,14905,"$221,041.87 "
White,Male,59,Mechanical Engineer,New York,Rochester,14619,"$51,647.59 "
Other,Female,70,Data Analyst,New York,New York City,10292,"$291,106.18 "
Hispanic,Male,61,Sales Associate,New York,Syracuse,13217,"$285,097.02 "
Black,Male,51,Safety Technician,New York,New York City,10292,"$137,415.70 "
Hispanic,Male,65,Mechanical Engineer,New York,Syracuse,13205,"$76,499.91 "
White,Female,26,Mechanical Engineer,New York,Buffalo,14233,"$35,412.98 "
White,Male,34,Tax Accountant,New York,Albany,12247,"$236,776.04 "
White,Male,23,Community Outreach Specialist,New York,Albany,12237,"$222,221.23 "
White,Female,37,Help Desk Operator,New York,Rochester,14652,"$156,087.46 "
Hispanic,Male,27,General Manager,New York,Brooklyn,11241,"$137,249.00 "
Hispanic,Female,64,Account Executive,New York,Utica,13505,"$243,899.48 "
White,Female,39,Desktop Support Technician,New York,Buffalo,14233,"$44,032.57 "
White,Male,65,Mechanical Engineer,New York,Jamaica,11480,"$227,999.56 "
Asian,Female,44,Social Worker,New York,Rochester,14604,"$231,493.97 "
Hispanic,Female,35,Nurse Practicioner,New York,New York City,10009,"$244,303.62 "
Black,Male,70,Marketing Assistant,New York,New York City,10203,"$192,248.54 "
Hispanic,Female,42,Teacher,New York,Buffalo,14233,"$283,008.15 "
White,Female,50,Librarian,New York,Rochester,14604,"$152,969.93 "
White,Female,32,VP Product Management,New York,Rochester,14609,"$58,460.35 "
Hispanic,Male,70,Research Associate,New York,Hicksville,11854,"$269,808.74 "
White,Male,19,Mechanical Engineer,New York,Staten Island,10305,"$201,156.64 "
White,Female,35,Technical Writer,New York,Jamaica,11499,"$142,835.09 "
Black,Male,41,Web Designer,New York,White Plains,10606,"$27,768.44 "
Hispanic,Female,50,Physical Therapy Assistant,New York,Schenectady,12325,"$48,776.44 "
Hispanic,Male,64,Technical Writer,New York,New York City,10160,"$299,036.72 "
White,Female,18,Speech Pathologist,New York,New York City,10203,"$179,960.93 "
White,Female,60,Automation Specialist,New York,New York City,10034,"$33,817.12 "
Hispanic,Male,42,Data Analyst,New York,Albany,12237,"$103,848.09 "
Black,Female,22,Mechanical Engineer,New York,Bronx,10469,"$128,255.23 "
White,Male,58,Senior Developer,New York,Schenectady,12305,"$33,885.39 "
Asian,Male,39,Marketing Assistant,New York,Mount Vernon,10557,"$279,681.92 "
White,Female,45,Paralegal,New York,Buffalo,14233,"$120,944.02 "
White,Male,20,Mechanical Engineer,New York,New York City,10090,"$281,784.14 "
Asian,Male,51,Systems Administrator,New York,Rochester,14639,"$131,970.82 "
White,Male,38,Database Administrator,New York,New York City,10155,"$282,652.91 "
White,Male,62,Payment Adjustment Coordinator,New York,New York City,10292,"$211,403.83 "
Hispanic,Female,46,Associate Professor,New York,New York City,10150,"$155,775.38 "
Black,Female,65,Data Analyst,New York,Bronx,10469,"$175,108.58 "
White,Male,57,Food Chemist,New York,New York City,10024,"$53,786.82 "
Hispanic,Male,63,Physical Therapy Assistant,New York,New York City,10120,"$103,416.74 "
White,Female,18,Mechanical Engineer,New York,White Plains,10633,"$250,265.73 "
White,Male,32,Data Analyst,New York,New York City,10150,"$150,458.43 "
Hispanic,Male,70,Mechanical Engineer,New York,New York City,10115,"$43,184.95 "
White,Female,61,Marketing Manager,New York,Brooklyn,11231,"$150,192.80 "
Hispanic,Female,59,Assistant Manager,New York,Brooklyn,11241,"$35,712.42 "
Hispanic,Female,70,Project Manager,New York,New York City,10024,"$266,727.05 "
Black,Female,42,Statistician,New York,New York City,10034,"$259,201.70 "
Hispanic,Male,61,Recruiter,New York,New York City,10150,"$129,232.10 "
Hispanic,Female,70,Graphic Designer,New York,Jamaica,11447,"$121,665.54 "
White,Male,69,Senior Developer,New York,Brooklyn,11220,"$161,635.10 "
Hispanic,Male,66,Mechanical Engineer,New York,Buffalo,14210,"$223,810.64 "
Black,Male,23,Data Analyst,New York,Bronx,10464,"$114,620.02 "
Black,Female,71,Mechanical Engineer,New York,Rochester,14604,"$220,111.54 "
White,Female,45,Administrative Officer,New York,Rochester,14639,"$190,960.34 "
White,Female,46,Compensation Analyst,New York,Albany,12210,"$142,834.02 "
White,Male,31,Financial Analyst,New York,New Hyde Park,11044,"$275,976.83 "
Black,Female,33,Senior Financial Analyst,New York,Bronx,10474,"$166,685.18 "
White,Female,28,Data Analyst,New York,Albany,12227,"$202,830.54 "
White,Female,27,Geologist,New York,Jamaica,11407,"$71,355.21 "
Other,Male,32,Data Analyst,New York,New York City,10165,"$231,705.56 "
White,Female,55,Cost Accountant,New York,Rochester,14619,"$237,199.85 "
White,Female,53,Nurse Practicioner,New York,Bronx,10474,"$189,597.87 "
Hispanic,Female,69,Financial Analyst,New York,Rochester,14646,"$119,948.52 "
White,Male,64,Media Manager,New York,New York City,10165,"$163,580.68 "
White,Male,20,Nurse Practicioner,New York,Jamaica,11447,"$173,440.93 "
Hispanic,Male,42,Mechanical Engineer,New York,Buffalo,14215,"$189,615.42 "
White,Male,25,Mechanical Engineer,New York,Albany,12205,"$253,172.14 "
White,Female,36,Data Analyst,New York,Albany,12237,"$108,133.21 "
Black,Male,26,Librarian,New York,Bronx,10474,"$231,075.48 "
White,Male,35,Financial Advisor,New York,Brooklyn,11247,"$131,666.75 "
White,Female,30,Senior Sales Associate,New York,Rochester,14619,"$85,421.46 "
Hispanic,Male,43,Project Manager,New York,Brooklyn,11236,"$150,503.71 "
White,Male,53,Accountant,New York,Syracuse,13210,"$100,356.03 "
White,Female,35,Nurse Practicioner,New York,New York City,10120,"$218,793.58 "
Hispanic,Male,66,Speech Pathologist,New York,Rochester,14624,"$163,518.23 "
Hispanic,Male,21,Marketing Assistant,New York,Albany,12255,"$219,892.63 "
White,Female,61,Mechanical Engineer,New York,New York City,10280,"$64,181.99 "
White,Male,64,Junior Executive,New York,New York City,10120,"$87,646.61 "
White,Male,41,Technical Writer,New York,New York City,10184,"$89,673.09 "
Other,Male,38,Mechanical Engineer,New York,Rochester,14683,"$172,669.98 "
Asian,Male,47,Legal Assistant,New York,Brooklyn,11225,"$270,051.98 "
Black,Female,24,Physical Therapy Assistant,New York,Syracuse,13205,"$278,338.06 "
Hispanic,Male,70,Environmental Tech,New York,Buffalo,14215,"$281,765.91 "
Asian,Male,61,Desktop Support Technician,New York,New York City,10019,"$273,014.51 "
White,Female,38,Nurse,New York,New York City,10203,"$60,488.79 "
Hispanic,Female,51,Web Designer,New York,Buffalo,14263,"$230,969.23 "
White,Female,69,Help Desk Operator,New York,Albany,12262,"$97,652.78 "
Hispanic,Male,27,Automation Specialist,New York,Flushing,11388,"$98,552.15 "
White,Female,41,Research Assistant,New York,Jamaica,11431,"$148,083.98 "
White,Male,33,Accountant,New York,New York City,10292,"$193,095.64 "
White,Female,61,Nurse Practicioner,New York,Albany,12227,"$202,203.10 "
Black,Female,65,Financial Analyst,New York,Buffalo,14276,"$281,880.77 "
White,Female,52,Sales Representative,New York,Albany,12247,"$117,122.39 "
Hispanic,Female,28,Environmental Tech,New York,Albany,12247,"$46,841.68 "
White,Male,22,Internal Auditor,New York,New York City,10004,"$206,632.20 "
White,Female,38,Cost Accountant,New York,Rochester,14609,"$51,241.17 "
White,Male,61,Compensation Analyst,New York,Syracuse,13205,"$102,505.53 "
White,Male,44,Sales Associate,New York,White Plains,10606,"$126,383.36 "
Hispanic,Female,30,Dental Hygienist,New York,Syracuse,13224,"$27,783.58 "
White,Male,55,Compensation Analyst,New York,New York City,10203,"$136,199.98 "
White,Male,25,Data Analyst,New York,Rochester,14683,"$45,317.58 "
White,Female,42,Staff Scientist,New York,Albany,12242,"$272,374.02 "
Hispanic,Male,43,VP Quality Control,New York,Syracuse,13251,"$135,176.36 "
White,Male,56,Health Coach,New York,Yonkers,10705,"$58,107.33 "
Hispanic,Male,48,Mechanical Engineer,New York,Albany,12210,"$289,722.15 "
White,Female,66,Data Analyst,New York,New York City,10034,"$245,638.51 "
White,Female,56,Financial Advisor,New York,Jamaica,11499,"$143,521.77 "
Black,Female,42,Assistant Professor,New York,Syracuse,13224,"$125,197.44 "
Black,Male,54,Health Coach,New York,Utica,13505,"$297,777.35 "
White,Male,63,Payment Adjustment Coordinator,New York,Jamaica,11470,"$147,481.57 "
Other,Male,54,Data Analyst,New York,Buffalo,14205,"$192,912.72 "
White,Female,41,Mechanical Engineer,New York,Schenectady,12305,"$206,137.20 "
White,Female,23,Operator,New York,New York City,10060,"$133,421.32 "
White,Female,35,Junior Executive,New York,Brooklyn,11210,"$101,220.13 "
White,Male,50,Systems Administrator,New York,Albany,12255,"$278,541.92 "
White,Female,46,Quality Control Specialist,New York,New York City,10004,"$33,911.81 "
Hispanic,Female,42,Financial Advisor,New York,Elmira,14905,"$36,444.22 "
White,Female,64,Biostatistician,New York,Buffalo,14263,"$275,213.40 "
White,Male,29,General Manager,New York,Great Neck,11024,"$56,930.06 "
White,Male,45,VP Quality Control,New York,Mount Vernon,10557,"$218,188.90 "
Asian,Male,35,Business Systems Development Analyst,New York,Bronx,10469,"$270,191.11 "
Black,Female,62,Data Analyst,New York,Albany,12255,"$164,299.24 "
Hispanic,Male,48,Assistant Professor,New York,Buffalo,14210,"$62,423.91 "
White,Female,26,Senior Editor,New York,New York City,10034,"$176,554.09 "
White,Male,31,VP Sales,New York,New York City,10249,"$148,114.26 "
Black,Female,43,Technical Writer,New York,Rochester,14683,"$64,147.55 "
Other,Male,48,Data Analyst,New York,Brooklyn,11254,"$159,232.50 "
White,Male,59,VP Marketing,New York,New York City,10275,"$100,356.60 "
White,Male,34,Help Desk Operator,New York,Brooklyn,11236,"$43,405.60 "
White,Male,66,VP Product Management,New York,New York City,10203,"$170,602.39 "
Hispanic,Female,39,Biostatistician,New York,Bronx,10469,"$215,729.65 "
White,Male,48,Senior Editor,New York,Buffalo,14215,"$128,700.22 "
Hispanic,Female,29,Pharmacist,New York,Flushing,11388,"$40,892.16 "
White,Male,57,Geologist,New York,Yonkers,10705,"$239,324.53 "
Black,Female,50,Operator,New York,New York City,10009,"$269,456.69 "
White,Female,53,Systems Administrator,New York,New York City,10029,"$174,735.24 "
White,Male,63,Sales Associate,New York,Rochester,14683,"$74,553.30 "
White,Male,23,Business Systems Development Analyst,New York,New York City,10131,"$95,571.61 "
White,Male,65,Help Desk Operator,New York,Albany,12227,"$170,258.53 "
Hispanic,Female,47,Actuary,New York,Brooklyn,11236,"$197,456.53 "
Black,Female,25,Sales Associate,New York,New Hyde Park,11044,"$291,326.13 "
White,Female,38,General Manager,New York,Brooklyn,11205,"$273,791.66 "
Asian,Male,57,Accountant,New York,New York City,10110,"$138,527.19 "
Black,Female,34,Assistant Professor,New York,Bronx,10454,"$255,174.79 "
Black,Male,32,Biostatistician,New York,Jamaica,11480,"$135,410.03 "
White,Female,57,Automation Specialist,New York,Brooklyn,11220,"$172,493.51 "
White,Male,30,Senior Developer,New York,Buffalo,14210,"$270,511.10 "
White,Female,29,Research Associate,New York,Rochester,14652,"$196,805.67 "
White,Female,55,Recruiting Manager,New York,New York City,10150,"$218,032.41 "
Black,Male,19,Media Manager,New York,Bronx,10464,"$174,288.36 "
White,Male,25,Clinical Specialist,New York,Buffalo,14233,"$256,460.47 "
Asian,Female,50,Assistant Media Planner,New York,Brooklyn,11225,"$184,690.11 "
White,Female,64,Information Systems Manager,New York,Albany,12242,"$246,106.20 "
White,Female,49,Mechanical Engineer,New York,Brooklyn,11236,"$226,659.15 "
White,Female,57,Staff Scientist,New York,New York City,10170,"$225,581.94 "
White,Male,28,Cost Accountant,New York,New York City,10014,"$156,662.94 "
Other,Male,54,Financial Analyst,New York,Bronx,10459,"$50,210.98 "
Hispanic,Male,39,Senior Editor,New York,Albany,12255,"$90,538.37 "
Black,Male,30,Assistant Professor,New York,Albany,12227,"$99,047.92 "
Other,Male,67,Food Chemist,New York,Rochester,14683,"$134,329.54 "
White,Female,48,Environmental Tech,New York,Flushing,11388,"$168,657.50 "
Hispanic,Male,65,Biostatistician,New York,Rochester,14652,"$54,350.85 "
White,Male,46,Environmental Specialist,New York,Jamaica,11499,"$148,372.92 "
Hispanic,Male,41,Librarian,New York,New York City,10045,"$97,566.00 "
White,Male,51,Sales Associate,New York,Jamaica,11436,"$169,286.87 "
White,Female,19,Nurse Practicioner,New York,Albany,12205,"$132,140.57 "
White,Male,69,Tax Accountant,New York,Bronx,10469,"$89,808.26 "
White,Female,62,Graphic Designer,New York,Rochester,14683,"$84,056.05 "
White,Male,32,Nurse Practicioner,New York,Jamaica,11470,"$40,325.35 "
White,Female,50,Assistant Media Planner,New York,Albany,12210,"$147,935.51 "
White,Male,63,GIS Technical Architect,New York,New York City,10024,"$104,282.53 "
White,Female,24,Mechanical Engineer,New York,Syracuse,13210,"$230,378.18 "
Black,Male,35,VP Product Management,New York,Jamaica,11470,"$143,661.64 "
Black,Male,30,Information Systems Manager,New York,Brooklyn,11205,"$160,555.14 "
White,Male,44,Health Coach,New York,New York City,10292,"$94,013.74 "
White,Female,53,Physical Therapy Assistant,New York,New York City,10090,"$221,507.03 "
White,Male,64,Media Manager,New York,New York City,10275,"$207,188.03 "
Asian,Male,61,Buget Analyst,New York,Brooklyn,11254,"$225,177.75 "
Black,Female,56,Mechanical Engineer,New York,Rochester,14624,"$276,266.02 "
Black,Male,58,Librarian,New York,Buffalo,14263,"$91,142.47 "
White,Female,47,Research Nurse,New York,Schenectady,12325,"$271,198.07 "
Black,Female,59,Sales Associate,New York,Jamaica,11499,"$135,468.56 "
White,Female,65,Assistant Media Planner,New York,Great Neck,11024,"$60,026.89 "
White,Male,35,Mechanical Engineer,New York,Bronx,10454,"$97,801.91 "
White,Female,52,VP Accounting,New York,New York City,10045,"$259,529.06 "
White,Male,59,Internal Auditor,New York,Albany,12237,"$72,544.38 "
White,Female,63,Executive Assistant,New York,New York City,10155,"$140,808.64 "
White,Female,51,Mechanical Engineer,New York,Bronx,10454,"$149,098.70 "
White,Male,44,Mechanical Engineer,New York,New York City,10184,"$187,619.69 "
White,Male,33,Environmental Tech,New York,Albany,12262,"$258,972.28 "
Hispanic,Female,28,Librarian,New York,New York City,10019,"$104,657.77 "
Black,Male,35,VP Marketing,New York,New York City,10270,"$268,411.46 "
Black,Male,30,Mechanical Engineer,New York,Syracuse,13224,"$121,478.83 "
White,Female,28,Office Assistant,New York,Buffalo,14215,"$137,116.44 "
White,Female,59,Data Coordiator,New York,New York City,10120,"$53,901.65 "
White,Male,37,Mechanical Engineer,New York,Brooklyn,11215,"$275,813.33 "
Hispanic,Female,28,Marketing Assistant,New York,Staten Island,10305,"$74,516.69 "
Other,Male,60,Mechanical Engineer,New York,Brooklyn,11241,"$247,381.25 "
White,Female,68,Pharmacist,New York,Albany,12227,"$249,358.53 "
Hispanic,Male,24,Media Manager,New York,New York City,10270,"$64,409.71 "
White,Male,58,Media Manager,New York,Jamaica,11407,"$200,805.31 "
Asian,Male,26,Actuary,New York,Jamaica,11470,"$56,211.64 "
White,Male,41,Help Desk Operator,New York,Brooklyn,11254,"$79,472.46 "
White,Male,66,Mechanical Engineer,New York,New York City,10110,"$78,031.20 "
White,Male,35,VP Marketing,New York,Staten Island,10310,"$261,489.35 "
Hispanic,Female,28,Registered Nurse,New York,New York City,10292,"$175,660.04 "
Hispanic,Female,37,Biostatistician,New York,New York City,10029,"$245,672.65 "
Hispanic,Male,23,Account Executive,New York,New York City,10060,"$157,443.32 "
White,Male,63,Data Analyst,New York,Buffalo,14215,"$106,332.53 "
White,Male,58,GIS Technical Architect,New York,Syracuse,13251,"$250,402.05 "
Hispanic,Male,64,Associate Professor,New York,New York City,10184,"$153,435.54 "
White,Female,29,Buget Analyst,New York,Rochester,14646,"$254,637.90 "
White,Male,21,Data Analyst,New York,New York City,10090,"$86,607.51 "
White,Female,20,Data Analyst,New York,New York City,10079,"$107,168.81 "
White,Male,26,Mechanical Engineer,New York,New York City,10105,"$73,165.43 "
Hispanic,Female,64,Environmental Tech,New York,Syracuse,13205,"$72,974.97 "
White,Female,64,Staff Scientist,New York,Bronx,10454,"$145,148.68 "
White,Female,40,Human Resources,New York,Hicksville,11854,"$203,266.83 "
White,Male,33,VP Quality Control,New York,Albany,12222,"$93,830.33 "
White,Male,23,General Manager,New York,New York City,10090,"$173,347.63 "
White,Male,18,Senior Cost Accountant,New York,New York City,10079,"$75,458.81 "
White,Male,45,Executive Secretary,New York,Hicksville,11854,"$245,115.14 "
Asian,Male,60,Sales Associate,New York,New York City,10110,"$278,105.32 "
White,Female,37,Human Resources,New York,New York City,10170,"$96,970.05 "
White,Male,52,Data Coordiator,New York,Bronx,10469,"$131,218.08 "
White,Female,70,Media Manager,New York,Syracuse,13205,"$185,231.58 "
White,Female,30,Executive Assistant,New York,Albany,12227,"$104,242.86 "
White,Female,70,Compensation Analyst,New York,Albany,12247,"$207,290.39 "
White,Male,55,Editor,New York,New York City,10099,"$30,058.44 "
Hispanic,Female,53,Internal Auditor,New York,Staten Island,10310,"$136,087.54 "
Other,Male,32,Marketing Assistant,New York,New York City,10175,"$129,786.37 "
Hispanic,Male,52,Tax Accountant,New York,New York City,10270,"$237,416.58 "
Hispanic,Male,23,Internal Auditor,New York,Brooklyn,11241,"$129,333.35 "
White,Female,52,Recruiting Manager,New York,Elmira,14905,"$298,554.23 "
White,Male,50,Web Designer,New York,Syracuse,13210,"$277,826.72 "
Black,Female,36,VP Quality Control,New York,Buffalo,14205,"$86,938.63 "
Black,Male,29,Account Executive,New York,Buffalo,14225,"$201,990.17 "
White,Female,20,Mechanical Engineer,New York,Buffalo,14233,"$275,743.98 "
Asian,Female,24,Senior Cost Accountant,New York,Albany,12242,"$69,834.14 "
Hispanic,Female,21,Operator,New York,Utica,13505,"$161,832.02 "
White,Male,67,Statistician,New York,New York City,10079,"$298,606.90 "
White,Female,46,Automation Specialist,New York,Yonkers,10705,"$164,864.43 "
White,Female,50,Librarian,New York,New York City,10292,"$166,186.94 "
Hispanic,Male,57,VP Product Management,New York,Rochester,14609,"$53,756.32 "
Hispanic,Male,62,Mechanical Engineer,New York,Buffalo,14276,"$199,177.07 "
White,Female,62,Executive Assistant,New York,New York City,10155,"$73,105.63 "
Hispanic,Male,36,Marketing Assistant,New York,Jamaica,11447,"$49,192.14 "
Black,Male,23,Assistant Manager,New York,Albany,12247,"$153,924.15 "
White,Female,63,Mechanical Engineer,New York,New Hyde Park,11044,"$213,896.74 "
White,Male,28,Data Analyst,New York,Jamaica,11436,"$164,509.00 "
White,Male,30,Tax Accountant,New York,Brooklyn,11210,"$30,082.29 "
White,Female,38,Senior Developer,New York,Brooklyn,11215,"$297,437.11 "
White,Female,57,Research Nurse,New York,Brooklyn,11247,"$245,506.17 "
White,Male,55,Design Engineer,New York,New York City,10270,"$214,427.93 "
White,Female,44,Social Worker,New York,Albany,12210,"$30,499.89 "
White,Male,43,Accountant,New York,Rochester,14652,"$173,657.41 "
White,Female,61,Speech Pathologist,New York,Brooklyn,11215,"$130,973.50 "
White,Female,55,Community Outreach Specialist,New York,Albany,12205,"$148,544.65 "
Hispanic,Female,54,Librarian,New York,Albany,12210,"$143,146.99 "
White,Male,38,Technical Writer,New York,Rochester,14646,"$48,403.63 "
White,Male,41,Technical Writer,New York,Brooklyn,11205,"$152,850.54 "
Hispanic,Male,54,Internal Auditor,New York,New York City,10203,"$293,287.50 "
Black,Male,66,Statistician,New York,Syracuse,13224,"$290,161.35 "
White,Female,40,Social Worker,New York,New York City,10029,"$233,606.39 "
White,Male,18,Data Analyst,New York,Rochester,14619,"$177,703.92 "
Black,Female,21,Office Assistant,New York,Brooklyn,11215,"$182,009.44 "
Black,Female,70,Payment Adjustment Coordinator,New York,Albany,12205,"$45,837.17 "
White,Male,21,Web Designer,New York,Buffalo,14263,"$208,725.94 "
White,Female,60,Compensation Analyst,New York,Buffalo,14225,"$115,891.35 "
Asian,Female,19,Senior Editor,New York,Bronx,10464,"$229,286.27 "
White,Female,53,Quality Control Specialist,New York,Syracuse,13251,"$153,510.14 "
White,Male,40,Compensation Analyst,New York,Brooklyn,11231,"$253,600.80 "
White,Male,67,Account Coordinator,New York,Jamaica,11480,"$28,579.84 "
Asian,Female,59,Help Desk Operator,New York,Albany,12262,"$80,317.94 "
White,Male,39,Operator,New York,Jamaica,11431,"$125,448.00 "
White,Female,51,Environmental Tech,New York,Jamaica,11480,"$249,493.13 "
Hispanic,Female,66,Media Manager,New York,New York City,10249,"$281,196.17 "
White,Female,44,Data Analyst,New York,New York City,10275,"$212,008.38 "
White,Male,40,Design Engineer,New York,Elmira,14905,"$143,556.14 "
White,Male,47,Data Analyst,New York,New York City,10120,"$231,267.87 "
Hispanic,Male,27,VP Quality Control,New York,Rochester,14624,"$175,072.55 "
Black,Female,31,VP Quality Control,New York,Buffalo,14276,"$253,698.41 "
White,Male,63,Research Assistant,New York,Bronx,10454,"$34,956.22 "
White,Male,58,Sales Representative,New York,New York City,10014,"$86,975.87 "
Hispanic,Female,20,Design Engineer,New York,New York City,10165,"$222,946.45 "
White,Female,65,Design Engineer,New York,Elmira,14905,"$80,249.44 "
White,Male,53,Junior Executive,New York,Bronx,10469,"$59,426.61 "
Asian,Male,28,Legal Assistant,New York,New York City,10131,"$126,742.25 "
Hispanic,Male,26,Legal Assistant,New York,New York City,10131,"$226,100.47 "
Hispanic,Female,59,Compensation Analyst,New York,New York City,10090,"$181,602.50 "
White,Male,49,Data Analyst,New York,Albany,12242,"$293,262.92 "
Hispanic,Male,51,Technical Writer,New York,Jamaica,11407,"$183,361.24 "
White,Female,40,Software Consultant,New York,Albany,12222,"$43,714.59 "
White,Female,48,Design Engineer,New York,New York City,10120,"$191,663.99 "
White,Male,44,Speech Pathologist,New York,Albany,12242,"$84,548.48 "
Hispanic,Female,22,Design Engineer,New York,Brooklyn,11241,"$274,750.10 "
Asian,Female,56,Marketing Assistant,New York,New York City,10014,"$222,232.26 "
White,Female,39,Environmental Specialist,New York,Jamaica,11470,"$175,089.21 "
Black,Female,24,Design Engineer,New York,New York City,10039,"$181,587.22 "
Asian,Female,49,Research Nurse,New York,Buffalo,14276,"$278,357.90 "
Hispanic,Female,42,Design Engineer,New York,New York City,10045,"$107,035.04 "
Hispanic,Male,49,Automation Specialist,New York,Bronx,10454,"$244,283.31 "
White,Male,32,Data Coordiator,New York,Bronx,10454,"$108,565.61 "
White,Female,44,Senior Cost Accountant,New York,Utica,13505,"$133,678.63 "
White,Female,54,Cost Accountant,New York,White Plains,10633,"$60,200.21 "
White,Female,48,Research Assistant,New York,Albany,12222,"$116,773.24 "
White,Female,62,Design Engineer,New York,Rochester,14609,"$40,794.23 "
Black,Male,57,Financial Analyst,New York,Jamaica,11499,"$281,195.34 "
White,Male,25,Desktop Support Technician,New York,Buffalo,14220,"$182,178.13 "
White,Male,39,Research Assistant,New York,New York City,10060,"$275,811.47 "
White,Male,47,Community Outreach Specialist,New York,Mount Vernon,10557,"$268,971.28 "
White,Female,53,Internal Auditor,New York,Buffalo,14233,"$235,510.57 "
White,Male,51,Teacher,New York,New York City,10039,"$251,032.76 "
White,Male,63,Design Engineer,New York,New York City,10203,"$224,701.44 "
Asian,Female,42,Compensation Analyst,New York,Rochester,14639,"$202,180.61 "
Hispanic,Male,29,Software Consultant,New York,New York City,10175,"$212,753.57 "
Hispanic,Male,39,Senior Cost Accountant,New York,Albany,12205,"$298,431.67 "
Hispanic,Male,67,Data Coordiator,New York,New York City,10184,"$265,396.82 "
White,Male,35,Professor,New York,Bronx,10469,"$211,962.96 "
Asian,Female,53,Librarian,New York,Rochester,14604,"$85,429.57 "
White,Female,49,Data Analyst,New York,Albany,12205,"$233,872.93 "
White,Male,31,Automation Specialist,New York,Schenectady,12305,"$116,446.56 "
White,Female,50,Senior Sales Associate,New York,Albany,12262,"$155,218.81 "
White,Male,60,Automation Specialist,New York,White Plains,10606,"$252,576.82 "
Black,Male,28,Sales Representative,New York,New York City,10131,"$248,108.70 "
Black,Female,46,Associate Professor,New York,Rochester,14604,"$254,852.87 "
Hispanic,Male,51,Design Engineer,New York,Buffalo,14220,"$117,085.23 "
Hispanic,Male,22,Pharmacist,New York,Port Washington,11054,"$217,485.07 "
White,Female,22,Environmental Specialist,New York,Buffalo,14263,"$165,484.81 "
White,Male,53,Research Associate,New York,Albany,12255,"$89,206.38 "
White,Male,58,Research Associate,New York,Albany,12222,"$215,747.74 "
White,Male,20,Executive Secretary,New York,Jamaica,11447,"$99,573.17 "
White,Male,42,Administrative Officer,New York,Jamaica,11480,"$114,167.84 "
